;cost_1;cost_10;cost_2;cost_3;cost_4;cost_5;cost_6;cost_7;cost_8;cost_9;iters_1;iters_10;iters_2;iters_3;iters_4;iters_5;iters_6;iters_7;iters_8;iters_9;n_edges;n_vertex;time_1;time_10;time_2;time_3;time_4;time_5;time_6;time_7;time_8;time_9
triadag30_5_new_time;593;593;593;593;593;593;593;593;593;593;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;870;465;22128060;19904496;22300959;22310910;20112499;20329843;19910008;18862334;19278416;20076632
triadag30_6_new_time;706;706;706;706;706;706;706;706;706;706;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;870;465;20125463;23139237;20362767;20297670;22476108;22478171;19999836;21562406;23031023;24438135
triadag30_7_new_time;659;659;659;659;659;659;659;659;659;659;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;870;465;22171448;24744288;20678221;20723775;20688325;20583057;23397685;22024174;21352465;20588478
triadag30_8_new_time;788;788;788;788;788;788;788;788;788;788;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;870;465;25244504;27674914;23992676;25411623;30033127;28554716;27573262;26271388;25554180;26306955
triadag30_9_new_time;592;592;592;592;592;592;592;592;592;592;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;870;465;27217327;23968793;27710030;26920051;26016653;25191867;25130342;24963709;24555976;24308363
