;cost_1;cost_10;cost_2;cost_3;cost_4;cost_5;cost_6;cost_7;cost_8;cost_9;n_edges;n_vertex;time_1;time_10;time_2;time_3;time_4;time_5;time_6;time_7;time_8;time_9
triadag30_5_new_time;593;593;593;593;593;593;593;593;593;593;870;465;923478;878281;942713;883472;863423;872333;864327;886663;871474;885667
triadag30_6_new_time;698;704;700;695;676;700;699;692;694;704;870;465;1330998;1098824;1124749;1290623;1753383;1017696;1222430;1963027;1023166;1594058
triadag30_7_new_time;659;659;659;659;659;659;659;659;659;659;870;465;1039224;1052047;1051257;1061313;1046644;1062402;1051842;1052180;1078268;1045709
triadag30_8_new_time;632;667;640;654;650;644;657;689;667;650;870;465;1317131;1777806;1623784;1072514;2118752;1786233;1359141;1093760;1218187;2680019
triadag30_9_new_time;592;592;592;592;592;592;592;592;592;592;870;465;847355;864207;872839;841761;860517;845039;832578;873424;857914;830304
