;cost_1;cost_10;cost_2;cost_3;cost_4;cost_5;cost_6;cost_7;cost_8;cost_9;n_edges;n_vertex;time_1;time_10;time_2;time_3;time_4;time_5;time_6;time_7;time_8;time_9
triadag30_5_new_time;593;593;593;593;593;593;593;593;593;593;870;465;367747;375332;380207;376436;376138;375958;372057;378717;380653;381185
triadag30_6_new_time;706;706;706;706;706;706;706;706;706;706;870;465;365836;363968;366253;371229;403431;386415;396707;384099;378843;371488
triadag30_7_new_time;659;659;659;659;659;659;659;659;659;659;870;465;366962;371418;371996;386904;375448;384057;377317;379080;375871;367254
triadag30_8_new_time;788;788;788;788;788;788;788;788;788;788;870;465;390505;368675;389008;402651;376934;391513;386337;381415;369846;367363
triadag30_9_new_time;592;592;592;592;592;592;592;592;592;592;870;465;374056;373006;380076;370349;368471;366500;372041;367711;364988;366267
