;cost_1;cost_10;cost_2;cost_3;cost_4;cost_5;cost_6;cost_7;cost_8;cost_9;iters_1;iters_10;iters_2;iters_3;iters_4;iters_5;iters_6;iters_7;iters_8;iters_9;n_edges;n_vertex;time_1;time_10;time_2;time_3;time_4;time_5;time_6;time_7;time_8;time_9
triadag30_5_new_time;593;593;593;593;593;593;593;593;593;593;118;118;118;118;118;118;118;118;118;118;870;465;508952;498676;531705;529789;509427;504358;531564;523119;511314;512712
triadag30_6_new_time;706;706;701;695;706;704;704;706;704;706;118;118;118;118;118;118;118;118;118;118;870;465;474448;492028;499591;501175;468637;492502;494575;478684;486509;497818
triadag30_7_new_time;659;659;659;659;659;659;659;659;659;659;118;118;118;118;118;118;118;118;118;118;870;465;532100;564268;564558;586165;557583;562927;526889;581928;546783;560904
triadag30_8_new_time;707;753;724;718;727;756;734;723;741;730;118;118;118;118;118;118;118;118;118;118;870;465;493694;492959;503670;513908;488607;485949;507702;481543;488228;485876
triadag30_9_new_time;592;592;592;592;592;592;592;592;592;592;118;118;118;118;118;118;118;118;118;118;870;465;543647;536786;525326;534509;523887;526913;547021;536356;515355;519513
